,text
0, Digoxin DAK 2care4 : Kapitell spc-preparatomtale: SPC (preparatomtale)    Digoxin DAK TABLETTER 62 5 μgGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument. Dette er et parallellimportert preparat. Et parallellimportert preparat er lenket til SPC for et referansepreparat. Vær oppmerksom på at det parallellimporterte preparatet kan ha andre hjelpestoffer enn referansepreparatet  som kan føre til at utseende  administrering  oppbevaring og holdbarhet er forskjellig. Sjekk derfor alltid pakningsvedlegget.
1, Digoxin DAK 2care4 : Kapitell vnrtabell: Pakninger  priser og refusjon  Digoxin DAK  TABLETTER:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     62 5 μg 100 stk. (flaske) 060727 Blå resept 277 20 C
2, Digoxin DAK 2care4 : Kapitell generisk-bytte: Medisinbytte       Digoxin DAK TABLETTER 62 5 μg             Byttegruppe 002653      Preparat Firma Legemiddelform Styrke Varenr Pakning     Digoxin DAK 2care4 tabl. 62 5 μg 060727 100 stk. (flaske)   Digoxin Orifarm Orifarm Healthcare tabl. 62 5 μg 063485 100 stk. (boks)                  Gjelder medisinbytte (generisk bytte) i apotek. For mer informasjon om medisinbytte og byttelisten  se https://legemiddelverket.no/offentlig-finansiering/medisinbytte-i-apotek For medisinbytte ved institusjoner henvises til §7 i Forskrift om legemiddelhåndtering for virksomheter og helsepersonell som yter helsehjelp
3, Digoxin DAK 2care4 : Kapitell legemiddelfoto: Legemiddelfoto               Digoxin DAK «2care4» tabletter 62 5 μg         Form: Rund   Deling: Uten delestrek/-kors   Mål (lengde × bredde): 6.0x6.0 mm   Farge: Lyseblå      Farge og størrelse på kapsel/tablett kan avvike noe.
4, Digoxin DAK 2care4 : Kapitell preparat-referanse: Komplett Felleskatalogtekst For utfyllende informasjon  se Felleskatalogtekst for  Digoxin Orifarm «Orifarm Healthcare»
5, Digoxin DAK 2care4 : Kapitell deklarasjon: TABLETTER 62 5 μg: Hver tablett inneh.: Digoksin 62 5 µg. Se for øvrig pakningsvedlegget.
6, Digoxin DAK 2care4 : Kapitell LastDateChangedSection: Sist endret: 08.11.2021               (priser og ev. refusjon oppdateres hver 14. dag)
7, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell indikasjon: IndikasjonerHjertesvikt  atrieflimmer og atrieflutter med rask ventrikkelaksjon og andre supraventrikulære takykardier.               Norsk legemiddelhåndbok: HjerterytmeforstyrrelserNorsk legemiddelhåndbok: Hjertesvikt
8, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell spc-preparatomtale: SPC (preparatomtale)    Digoxin Orifarm TABLETTER 62 5 μgGå til godkjent preparatomtale   Digoxin Orifarm TABLETTER 250 μgGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
9, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell vnrtabell: Pakninger  priser og refusjon  Digoxin Orifarm  TABLETTER:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     62 5 μg 100 stk. (boks) 063485 Blå resept 277 20 C   250 μg 100 stk. (boks) 449569 Blå resept 277 20 C
